d,t,l
2022-02-07,4,46
2022-02-07,5,50
2022-02-07,6,68
2022-02-07,7,94
2022-02-07,8,123
2022-02-07,9,147
2022-02-07,10,161
2022-02-07,11,162
2022-02-07,12,150
2022-02-07,13,127
2022-02-07,14,100
2022-02-07,15,74
2022-02-07,16,56
2022-02-07,17,50
2022-02-07,18,56
2022-02-07,19,73
2022-02-07,20,95
2022-02-07,21,117
2022-02-07,22,131
2022-02-07,23,136
2022-02-08,0,130
2022-02-08,1,115
2022-02-08,2,96
2022-02-08,3,78
2022-02-08,4,67
2022-02-08,5,66
2022-02-08,6,74
2022-02-08,7,92
2022-02-08,8,113
2022-02-08,9,134
2022-02-08,10,149
2022-02-08,11,155
2022-02-08,12,150
2022-02-08,13,136
2022-02-08,14,115
2022-02-08,15,92
2022-02-08,16,72
2022-02-08,17,58
2022-02-08,18,54
2022-02-08,19,60
2022-02-08,20,73
2022-02-08,21,90
2022-02-08,22,105
2022-02-08,23,116
2022-02-09,0,120
2022-02-09,1,117
2022-02-09,2,108
2022-02-09,3,98
2022-02-09,4,89
2022-02-09,5,84
2022-02-09,6,86
2022-02-09,7,94
2022-02-09,8,107
2022-02-09,9,122
2022-02-09,10,135
2022-02-09,11,144
2022-02-09,12,146
2022-02-09,13,140
2022-02-09,14,127
2022-02-09,15,110
2022-02-09,16,91
2022-02-09,17,74
2022-02-09,18,62
2022-02-09,19,57
2022-02-09,20,60
2022-02-09,21,68
2022-02-09,22,80
2022-02-09,23,93
2022-02-10,0,103
2022-02-10,1,110
2022-02-10,2,112
2022-02-10,3,111
2022-02-10,4,107
2022-02-10,5,103
2022-02-10,6,101
2022-02-10,7,102
2022-02-10,8,106
2022-02-10,9,114
2022-02-10,10,122
2022-02-10,11,130
2022-02-10,12,136
2022-02-10,13,137
2022-02-10,14,133
2022-02-10,15,124
2022-02-10,16,111
2022-02-10,17,95
2022-02-10,18,78
2022-02-10,19,65
2022-02-10,20,57
2022-02-10,21,55
2022-02-10,22,59
2022-02-10,23,69
2022-02-11,0,82
2022-02-11,1,95
2022-02-11,2,107
2022-02-11,3,116
2022-02-11,4,120
2022-02-11,5,121
2022-02-11,6,118
2022-02-11,7,114
2022-02-11,8,110
2022-02-11,9,109
2022-02-11,10,111
2022-02-11,11,116
2022-02-11,12,123
2022-02-11,13,130
2022-02-11,14,134
2022-02-11,15,134
2022-02-11,16,127
2022-02-11,17,115
2022-02-11,18,99
2022-02-11,19,80
2022-02-11,20,63
2022-02-11,21,51
2022-02-11,22,45
2022-02-11,23,48
2022-02-12,0,59
2022-02-12,1,76
2022-02-12,2,95
2022-02-12,3,113
2022-02-12,4,126
2022-02-12,5,133
2022-02-12,6,133
2022-02-12,7,127
2022-02-12,8,118
2022-02-12,9,110
2022-02-12,10,105
2022-02-12,11,104
2022-02-12,12,109
2022-02-12,13,119
2022-02-12,14,129
2022-02-12,15,138
2022-02-12,16,140
2022-02-12,17,134
2022-02-12,18,120
2022-02-12,19,100
2022-02-12,20,77
2022-02-12,21,55
2022-02-12,22,40
2022-02-12,23,34
2022-02-13,0,39
2022-02-13,1,54
2022-02-13,2,77
2022-02-13,3,103
2022-02-13,4,125
2022-02-13,5,140
2022-02-13,6,145
2022-02-13,7,141
2022-02-13,8,129
2022-02-13,9,114
2022-02-13,10,102
2022-02-13,11,95
2022-02-13,12,96
